Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,,Date,Close Price,upperlimit,lowerlimit,label
RELIANCE,EQ,22-Jan-20,1533.9,1544,1546.75,1531.1,1535.25,1533.35,1538.16,4719245,7258954216,143828,2043807,43.31,,,22-Jan-20,1533.35,1610.0175,1456.6825,FALSE
RELIANCE,EQ,23-Jan-20,1533.35,1536.5,1541.95,1520.7,1529.6,1526.85,1528.79,5142088,7861187151,149239,2364600,45.99,,,23-Jan-20,1526.85,1603.1925,1450.5075,FALSE
RELIANCE,EQ,24-Jan-20,1526.85,1527,1536.35,1518.55,1524.05,1521.55,1525.74,6687633,10203594713,152146,3325568,49.73,,,24-Jan-20,1521.55,1597.6275,1445.4725,FALSE
RELIANCE,EQ,27-Jan-20,1521.55,1514.9,1524.45,1505,1508,1506.55,1513.43,6120429,9262815086,130826,2671210,43.64,,,27-Jan-20,1506.55,1581.8775,1431.2225,FALSE
RELIANCE,EQ,28-Jan-20,1506.55,1508.6,1510,1463.6,1473.5,1471.75,1485.82,11215313,16663988524,271852,6064582,54.07,,,28-Jan-20,1471.75,1545.3375,1398.1625,NOTE
RELIANCE,EQ,29-Jan-20,1471.75,1474.05,1494.4,1464.05,1480,1479.85,1479.34,11313297,16736172828,254760,4513527,39.9,,,29-Jan-20,1479.85,1553.8425,1405.8575,FALSE
RELIANCE,EQ,30-Jan-20,1479.85,1479,1479.7,1440,1443,1443.75,1452.4,10241756,14875116667,231136,4854357,47.4,,,30-Jan-20,1443.75,1515.9375,1371.5625,FALSE
RELIANCE,EQ,31-Jan-20,1443.75,1453,1453.25,1407.2,1410,1411.65,1425.75,15886673,22650374557,330774,8885318,55.93,,,31-Jan-20,1411.65,1482.2325,1341.0675,FALSE
RELIANCE,EQ,1-Feb-20,1411.65,1405.3,1426.95,1371.1,1372,1383.35,1402.89,11022901,15463889562,243212,3263872,29.61,,,1-Feb-20,1383.35,1452.5175,1314.1825,NOTE
RELIANCE,EQ,3-Feb-20,1383.35,1369.9,1399.95,1363.05,1386,1385.5,1380.77,14040626,19386892661,370104,6963618,49.6,,,3-Feb-20,1385.5,1454.775,1316.225,FALSE
RELIANCE,EQ,4-Feb-20,1385.5,1400,1432.5,1397.8,1427.5,1426.4,1419.31,11604666,16470598997,286666,5299061,45.66,,,4-Feb-20,1426.4,1497.72,1355.08,FALSE
RELIANCE,EQ,5-Feb-20,1426.4,1434.9,1452.8,1430.3,1446.3,1448.5,1442.46,8444823,12181350644,242039,3774342,44.69,,,5-Feb-20,1448.5,1520.925,1376.075,FALSE
RELIANCE,EQ,6-Feb-20,1448.5,1454.1,1467,1440.1,1455,1457.8,1452.93,7103715,10321203996,163247,2877846,40.51,,,6-Feb-20,1457.8,1530.69,1384.91,NOTE
RELIANCE,EQ,7-Feb-20,1457.8,1451,1452.35,1428.3,1432,1433.65,1437.06,5581641,8021138869,134128,2493746,44.68,,,7-Feb-20,1433.65,1505.3325,1361.9675,FALSE
RELIANCE,EQ,10-Feb-20,1433.65,1428,1445.5,1410.45,1442.2,1435.6,1424.41,6922631,9860658649,143055,3096467,44.73,,,10-Feb-20,1435.6,1507.38,1363.82,FALSE
RELIANCE,EQ,11-Feb-20,1435.6,1447.4,1466.2,1445.05,1454.5,1452.75,1457.22,6400245,9326549622,224142,2779570,43.43,,,11-Feb-20,1452.75,1525.3875,1380.1125,FALSE
RELIANCE,EQ,12-Feb-20,1452.75,1456.15,1474.85,1455,1473.15,1470.3,1465.86,6187091,9069380788,192511,3063711,49.52,,,12-Feb-20,1470.3,1543.815,1396.785,FALSE
RELIANCE,EQ,13-Feb-20,1470.3,1477.75,1477.75,1462.6,1470.45,1474.15,1470.71,6201763,9120966120,116464,2969412,47.88,,,13-Feb-20,1474.15,1547.8575,1400.4425,FALSE
RELIANCE,EQ,14-Feb-20,1474.15,1477.25,1501.45,1453.1,1485.85,1487.6,1483.41,9704655,14395961760,229509,3144368,32.4,,,14-Feb-20,1487.6,1561.98,1413.22,FALSE
RELIANCE,EQ,17-Feb-20,1487.6,1489,1506.15,1474.3,1478.5,1478.25,1487.62,6011340,8942610639,150631,2236062,37.2,,,17-Feb-20,1478.25,1552.1625,1404.3375,FALSE
RELIANCE,EQ,18-Feb-20,1478.25,1475.9,1475.9,1457.4,1466.9,1467.4,1465.63,5086964,7455603061,142911,2468083,48.52,,,18-Feb-20,1467.4,1540.77,1394.03,FALSE
RELIANCE,EQ,19-Feb-20,1467.4,1479.35,1506.45,1475.1,1504.5,1503.8,1497.34,6438918,9641269217,249278,2453851,38.11,,,19-Feb-20,1503.8,1578.99,1428.61,FALSE
RELIANCE,EQ,20-Feb-20,1503.8,1497,1508,1483.8,1487,1485.95,1495.83,7722577,11551669677,176470,4689093,60.72,,,20-Feb-20,1485.95,1560.2475,1411.6525,FALSE
RELIANCE,EQ,24-Feb-20,1485.95,1469.75,1477,1439.55,1447.1,1444.95,1462.78,9769743,14291004524,237165,6097347,62.41,,,24-Feb-20,1444.95,1517.1975,1372.7025,FALSE
RELIANCE,EQ,25-Feb-20,1444.95,1451.4,1451.4,1410,1420,1416.4,1432.47,12684109,18169572259,281387,8329207,65.67,,,25-Feb-20,1416.4,1487.22,1345.58,FALSE
RELIANCE,EQ,26-Feb-20,1416.4,1410,1412.35,1387.35,1389.5,1392,1399.83,13423661,18790808836,268512,8145083,60.68,,,26-Feb-20,1392,1461.6,1322.4,FALSE
RELIANCE,EQ,27-Feb-20,1392,1388,1393.8,1369,1380.45,1386.25,1381.33,11454300,15822175752,240043,6101634,53.27,,,27-Feb-20,1386.25,1455.5625,1316.9375,FALSE
RELIANCE,EQ,28-Feb-20,1386.25,1354.9,1357,1325,1327,1328.65,1338.96,17973847,24066201012,373466,9944010,55.32,,,28-Feb-20,1328.65,1395.0825,1262.2175,NOTE
RELIANCE,EQ,2-Mar-20,1328.65,1355.1,1369,1301.1,1322,1316.15,1343.4,13486634,18117990645,274282,7208383,53.45,,,2-Mar-20,1316.15,1381.9575,1250.3425,FALSE
RELIANCE,EQ,3-Mar-20,1316.15,1329.7,1353.9,1322,1346.35,1342.85,1339.28,12525809,16775518804,275521,6009681,47.98,,,3-Mar-20,1342.85,1409.9925,1275.7075,FALSE
RELIANCE,EQ,4-Mar-20,1342.85,1352,1353.8,1307.9,1349,1339.7,1331.24,10105782,13453213012,297606,4158028,41.15,,,4-Mar-20,1339.7,1406.685,1272.715,FALSE
RELIANCE,EQ,5-Mar-20,1339.7,1352.2,1357.95,1306,1309.9,1311.15,1327.07,13948324,18510367253,319378,6943317,49.78,,,5-Mar-20,1311.15,1376.7075,1245.5925,FALSE
RELIANCE,EQ,6-Mar-20,1311.15,1270,1288.15,1241.1,1269.85,1271,1271.62,15422068,19610974599,389652,9634796,62.47,,,6-Mar-20,1271,1334.55,1207.45,FALSE
RELIANCE,EQ,9-Mar-20,1271,1240.05,1241,1095,1104.5,1114.15,1143.56,40317808,46105953149,846382,19195053,47.61,,,9-Mar-20,1114.15,1169.8575,1058.4425,NOTE
RELIANCE,EQ,11-Mar-20,1114.15,1108,1178.45,1108,1152,1153.55,1157.92,27237627,31538987521,490124,12424367,45.61,,,11-Mar-20,1153.55,1211.2275,1095.8725,FALSE
RELIANCE,EQ,12-Mar-20,1153.55,1085,1101,1048.7,1059,1063,1076.2,25588170,27538049024,646095,13287100,51.93,,,12-Mar-20,1063,1116.15,1009.85,FALSE
RELIANCE,EQ,13-Mar-20,1063,998,1140,942.4,1116.95,1105.3,1053.35,33509757,35297404438,706395,14587908,43.53,,,13-Mar-20,1105.3,1160.565,1050.035,FALSE
RELIANCE,EQ,16-Mar-20,1105.3,1060.55,1079.7,1005,1012.2,1015.7,1046.83,17594729,18418745886,441083,8819285,50.12,,,16-Mar-20,1015.7,1066.485,964.915,NOTE
RELIANCE,EQ,17-Mar-20,1015.7,1047.25,1060,1003.2,1011.5,1008,1034.68,20777442,21497994559,463953,10596500,51,,,17-Mar-20,1008,1058.4,957.6,FALSE
RELIANCE,EQ,18-Mar-20,1008,1025.3,1035.9,961,976.45,968.5,992.19,20450497,20290776264,499736,8751121,42.79,,,18-Mar-20,968.5,1016.925,920.075,FALSE
RELIANCE,EQ,19-Mar-20,968.5,920.1,967,892.2,917.7,917.7,918.86,28072062,25794360274,636588,13023488,46.39,,,19-Mar-20,917.7,963.585,871.815,NOTE
RELIANCE,EQ,20-Mar-20,917.7,939.5,1034.9,930,1028,1017.95,983.98,28967526,28503444362,589033,12676996,43.76,,,20-Mar-20,1017.95,1068.8475,967.0525,NOTE
RELIANCE,EQ,23-Mar-20,1017.95,916.2,950,875.65,891,884.05,899.32,18593713,16721615106,569206,9759892,52.49,,,23-Mar-20,884.05,928.2525,839.8475,NOTE
RELIANCE,EQ,24-Mar-20,884.05,930,970,895.8,946,943.4,934.85,20919322,19556500214,590891,8384530,40.08,,,24-Mar-20,943.4,990.57,896.23,NOTE
RELIANCE,EQ,25-Mar-20,943.4,963.8,1151.55,963.25,1074,1082.25,1053.49,33433126,35221338455,799060,16920113,50.61,,,25-Mar-20,1082.25,1136.3625,1028.1375,NOTE
RELIANCE,EQ,26-Mar-20,1082.25,1095.8,1116.9,1042.35,1069,1066.2,1074.95,20912934,22480324150,592742,8024956,38.37,,,26-Mar-20,1066.2,1119.51,1012.89,FALSE
RELIANCE,EQ,27-Mar-20,1066.2,1095,1107.3,1046.2,1067.95,1065.6,1070.06,19044644,20378895931,502817,8854044,46.49,,,27-Mar-20,1065.6,1118.88,1012.32,FALSE
RELIANCE,EQ,30-Mar-20,1065.6,1040.6,1074.8,1020,1031.5,1030.45,1044.14,13820286,14430304003,386770,5108078,36.96,,,30-Mar-20,1030.45,1081.9725,978.9275,FALSE
RELIANCE,EQ,31-Mar-20,1030.45,1073.95,1129.8,1048,1100,1113.75,1093.37,20249909,22140676569,506536,8062531,39.82,,,31-Mar-20,1113.75,1169.4375,1058.0625,FALSE
RELIANCE,EQ,1-Apr-20,1113.75,1122.25,1124.6,1045.2,1084,1080.45,1072.84,19017099,20402365414,414675,7771573,40.87,,,1-Apr-20,1080.45,1134.4725,1026.4275,FALSE
RELIANCE,EQ,3-Apr-20,1080.45,1134.45,1134.45,1056.3,1088,1077.45,1077.52,18912044,20378095230,519365,6471589,34.22,,,3-Apr-20,1077.45,1131.3225,1023.5775,FALSE
RELIANCE,EQ,7-Apr-20,1077.45,1102.1,1214,1100,1211,1206.1,1161.27,24859057,28867992304,556669,9176463,36.91,,,7-Apr-20,1206.1,1266.405,1145.795,NOTE
RELIANCE,EQ,8-Apr-20,1206.1,1180,1229,1160,1197,1192.15,1194.6,22803774,27241443068,538577,7545325,33.09,,,8-Apr-20,1207.1,1267.455,1146.745,FALSE
RELIANCE,EQ,9-Apr-20,1192.15,1214,1232.8,1193,1217.75,1219.95,1214.91,15101711,18347214247,368355,4543136,30.08,,,9-Apr-20,1208.1,1268.505,1147.695,FALSE
RELIANCE,EQ,13-Apr-20,1219.95,1203.95,1215,1180,1192.5,1189.15,1191.64,10822871,12896993488,263593,2785395,25.74,,,10-Apr-20,1209.1,1269.555,1148.645,FALSE
RELIANCE,EQ,15-Apr-20,1189.15,1197.05,1236,1143,1157.5,1149.85,1191.73,16147959,19243981631,404270,5315163,32.92,,,15-Apr-20,1149.85,1207.3425,1092.3575,FALSE
RELIANCE,EQ,16-Apr-20,1149.85,1149.85,1187.45,1145,1170,1168.05,1172.19,17123533,20071955512,387003,6815679,39.8,,,16-Apr-20,1168.05,1226.4525,1109.6475,FALSE
RELIANCE,EQ,17-Apr-20,1168.05,1216,1230,1192.65,1229.9,1224,1208.12,15209707,18375116205,322391,5515033,36.26,,,17-Apr-20,1224,1285.2,1162.8,FALSE
RELIANCE,EQ,20-Apr-20,1224,1226,1257,1202,1248.1,1243.8,1228.75,16472339,20240404168,365965,3828855,23.24,,,20-Apr-20,1243.8,1305.99,1181.61,FALSE
RELIANCE,EQ,21-Apr-20,1243.8,1210,1252,1164,1251.5,1237.35,1204.07,28057706,33783478000,573205,8180117,29.15,,,21-Apr-20,1237.35,1299.2175,1175.4825,FALSE
RELIANCE,EQ,22-Apr-20,1237.35,1320,1384.9,1300,1359,1363.6,1341.48,65230894,87505942711,1194059,15175508,23.26,,,22-Apr-20,1363.6,1431.78,1295.42,NOTE
RELIANCE,EQ,23-Apr-20,1363.6,1367.35,1385.85,1353.3,1370.15,1370.9,1369.1,29928331,40974916121,612506,9233839,30.85,,,23-Apr-20,1370.9,1439.445,1302.355,FALSE
RELIANCE,EQ,24-Apr-20,1370.9,1350.15,1494.95,1347.2,1425.8,1417,1431.67,61711388,88350296136,1154959,9965286,16.15,,,24-Apr-20,1417,1487.85,1346.15,FALSE
RELIANCE,EQ,27-Apr-20,1417,1434,1475,1423,1431,1429.75,1448.31,26736512,38722699505,594518,4031654,15.08,,,27-Apr-20,1429.75,1501.2375,1358.2625,FALSE
RELIANCE,EQ,28-Apr-20,1429.75,1450,1455.45,1392.15,1430,1428.15,1421.22,35866381,50974111341,746066,7100366,19.8,,,28-Apr-20,1428.15,1499.5575,1356.7425,FALSE
RELIANCE,EQ,29-Apr-20,1428.15,1444.9,1453.65,1420,1427,1426.95,1436.42,17141540,24622404116,389293,4350009,25.38,,,29-Apr-20,1426.95,1498.2975,1355.6025,FALSE
RELIANCE,EQ,30-Apr-20,1426.95,1453.95,1494.95,1438.05,1464,1466,1467.88,32617901,47879255960,663204,9287707,28.47,,,30-Apr-20,1466,1539.3,1392.7,NOTE
RELIANCE,EQ,4-May-20,1466,1440,1465,1417.45,1435,1435.2,1442.94,24439240,35264364751,544309,8018280,32.81,,,4-May-20,1435.2,1506.96,1363.44,FALSE
RELIANCE,EQ,5-May-20,1435.2,1453.7,1479,1447.2,1462.65,1460.65,1464.23,20528706,30058697949,412545,4924874,23.99,,,5-May-20,1460.65,1533.6825,1387.6175,FALSE
RELIANCE,EQ,6-May-20,1460.65,1464,1484.95,1445.5,1461.5,1460.75,1468.54,18510304,27183196663,425042,4155906,22.45,,,6-May-20,1460.75,1533.7875,1387.7125,FALSE
RELIANCE,EQ,7-May-20,1460.75,1455,1513.65,1445,1512,1506.95,1484.86,22871529,33961065997,465254,5286803,23.12,,,7-May-20,1506.95,1582.2975,1431.6025,FALSE
RELIANCE,EQ,8-May-20,1506.95,1545,1579.9,1537.1,1559.45,1561.8,1560.62,38522385,60118628771,727915,12438706,32.29,,,8-May-20,1561.8,1639.89,1483.71,NOTE
RELIANCE,EQ,11-May-20,1561.8,1580,1615,1572.3,1575,1576.8,1592.89,30670404,48854566348,576001,11723342,38.22,,,11-May-20,1576.8,1655.64,1497.96,FALSE
RELIANCE,EQ,12-May-20,1576.8,1564.8,1568.35,1465,1486.45,1479.25,1511.39,46029119,69568011663,807575,18435434,40.05,,,12-May-20,1479.25,1553.2125,1405.2875,NOTE
RELIANCE,EQ,13-May-20,1479.25,1527,1527,1454,1492.5,1496.45,1481.1,30658051,45407632804,615366,6403617,20.89,,,13-May-20,1496.45,1571.2725,1421.6275,FALSE
RELIANCE,EQ,14-May-20,1496.45,1469,1496.7,1430.05,1437,1435.95,1457.61,22736714,33141191470,494402,7400518,32.55,,,14-May-20,1435.95,1507.7475,1364.1525,NOTE
RELIANCE,EQ,15-May-20,1435.95,1444,1466.7,1415.1,1453.2,1459.4,1439.85,28683432,41299828010,592403,7448167,25.97,,,15-May-20,1459.4,1532.37,1386.43,NOTE
RELIANCE,EQ,18-May-20,1459.4,1470,1482,1428,1442.55,1440.75,1452.86,28981620,42106270200,575336,5396937,18.62,,,18-May-20,1440.75,1512.7875,1368.7125,NOTE
RELIANCE,EQ,19-May-20,1440.75,1457,1461.7,1403.25,1409.1,1408.9,1436.68,19529216,28057214575,424987,4452799,22.8,,,19-May-20,1408.9,1479.345,1338.455,NOTE
RELIANCE,EQ,20-May-20,1408.9,1410,1446.85,1393,1437.4,1433.7,1426.52,25530692,36419940582,446373,6638736,26,,,20-May-20,1433.7,1505.385,1362.015,NOTE
RELIANCE,EQ,21-May-20,1433.7,1435,1461.45,1425,1440,1441.25,1443.94,18077196,26102458753,353235,5286704,29.25,,,21-May-20,1441.25,1513.3125,1369.1875,NOTE
RELIANCE,EQ,22-May-20,1441.25,1451.8,1458,1426.5,1433,1431.55,1442.31,17458503,25180593225,388907,4083814,23.39,,,22-May-20,1431.55,1503.1275,1359.9725,NOTE
RELIANCE,EQ,26-May-20,1431.55,1448.15,1449.7,1416.3,1426,1424.05,1428.7,15330793,21903166112,341795,7437964,48.52,,,26-May-20,1424.05,1495.2525,1352.8475,NOTE
RELIANCE,EQ,27-May-20,1424.05,1431,1454,1412,1449.85,1445.55,1430.2,16460764,23542230514,348477,6524302,39.64,,,27-May-20,1445.55,1517.8275,1373.2725,
RELIANCE,EQ,28-May-20,1445.55,1455,1479.75,1449,1471.05,1472.25,1467.5,18519252,27176980636,405603,8377100,45.23,,,28-May-20,1472.25,1545.8625,1398.6375,
