symbols,scrips,Date,Close,Today - yesterday Price,5% lower or upper hit?,How much is 5% price diff,5% down price,How much is 5% price diff,5% up price,# days,Back to back
HDFCBANK,EQ,21/08/19,1113,3,,,,,,,
HDFCBANK,EQ,22/08/19,1087,-26,,,,,,,
HDFCBANK,EQ,23/08/19,1081,-6,,,,,,,
HDFCBANK,EQ,26/08/19,1128,47,,,,,,,
HDFCBANK,EQ,27/08/19,1130,2,,,,,,,
HDFCBANK,EQ,28/08/19,1124,-6,,,,,,,
HDFCBANK,EQ,29/08/19,1113,-11,,,,,,,
HDFCBANK,EQ,30/08/19,1114,1,,,,,,,
HDFCBANK,EQ,03/09/19,1105,-9,,,,,,,
HDFCBANK,EQ,04/09/19,1124,19,,,,,,,
HDFCBANK,EQ,05/09/19,1118,-6,,,,,,,
HDFCBANK,EQ,06/09/19,1123,5,,,,,,,
HDFCBANK,EQ,09/09/19,1125,2,,,,,,,
HDFCBANK,EQ,11/09/19,1126,1,,,,,,,
HDFCBANK,EQ,12/09/19,1135,9,,,,,,,
HDFCBANK,EQ,13/09/19,1129,-6,,,,,,,
HDFCBANK,EQ,16/09/19,1122,-7,,,,,,,
HDFCBANK,EQ,17/09/19,1106,-16,,,,,,,
HDFCBANK,EQ,18/09/19,1094,-12,,,,,,,
HDFCBANK,EQ,19/09/19,1101,7,,,,,,,
HDFCBANK,EQ,20/09/19,1200,99,Y,60,1140,60,1260,25,
HDFCBANK,EQ,23/09/19,1257,57,,,,,,,
HDFCBANK,EQ,24/09/19,1254,-3,,,,,,,
HDFCBANK,EQ,25/09/19,1240,-14,,,,,,,
HDFCBANK,EQ,26/09/19,1243,3,,,,,,,
HDFCBANK,EQ,27/09/19,1244,1,,,,,,,
HDFCBANK,EQ,30/09/19,1227,-17,,,,,,,
HDFCBANK,EQ,01/10/19,1249,22,,,,,,,
HDFCBANK,EQ,03/10/19,1224,-25,,,,,,,
HDFCBANK,EQ,04/10/19,1190,-34,,,,,,,
HDFCBANK,EQ,07/10/19,1187,-3,,,,,,,
HDFCBANK,EQ,09/10/19,1228,41,,,,,,,
HDFCBANK,EQ,10/10/19,1201,-27,,,,,,,
HDFCBANK,EQ,11/10/19,1199,-2,,,,,,,
HDFCBANK,EQ,14/10/19,1204,5,,,,,,,
HDFCBANK,EQ,15/10/19,1223,19,,,,,,,
HDFCBANK,EQ,16/10/19,1221,-2,,,,,,,
HDFCBANK,EQ,17/10/19,1220,-1,,,,,,,
HDFCBANK,EQ,18/10/19,1229,9,,,,,,,
HDFCBANK,EQ,22/10/19,1239,10,,,,,,,
HDFCBANK,EQ,23/10/19,1242,3,,,,,,,
HDFCBANK,EQ,24/10/19,1236,-6,,,,,,,
HDFCBANK,EQ,25/10/19,1229,-7,,,,,,,
HDFCBANK,EQ,27/10/19,0,-1229,,,,,,,
HDFCBANK,EQ,29/10/19,1243,1243,,,,,,,
HDFCBANK,EQ,30/10/19,1248,5,,,,,,,
HDFCBANK,EQ,31/10/19,1230,-18,,,,,,,
HDFCBANK,EQ,01/11/19,1240,10,,,,,,,
HDFCBANK,EQ,04/11/19,1237,-3,,,,,,,
